page_number,titel,url,year
1,IKEA rappelle la chaise haute LEOPARD,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-30879.html,2009
1,Migros rappelle les déshumidificateurs DGM 10,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-30632.html,2009
1,Rappel des crampons de montagne Crampon Compact SALEWA,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-30356.html,2009
1,Migros rappelle des crampons de montagne Salewa,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-30297.html,2009
1,"Rappel volontaire de produit Belkin : TuneBaseTM Direct avec mains libres, TuneBaseFM avec mains libres et TuneBaseFM avec ClearScan",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-29949.html,2009
1,Annonce de sécurité importante concernant les modèles RS21 et RS60 des refrigerateurs congelateurs Samsung,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-29790.html,2009
1,"Par précaution, Kärcher met hors circuit les pompes immergées",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-29733.html,2009
1,Salomon SAS: Rappel volontaire du bloc avant de certaines fixations de skis,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-29597.html,2009
1,"Coop rappelle la tartelette latte macchiato Coop plan b, 60 g",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-29570.html,2009
1,Kuhn Rikon : Information concernant la sécurité des faitouts DUROTHERM,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-28977.html,2009
2,Migros rappelle des brassards de natation,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-28785.html,2009
2,Migros rappelle la «Boisson au riz» en brique de 500 ml,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-28496.html,2009
2,Rossignol : Rappel de certaines chaussures de ski de fond,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-28341.html,2009
2,Nebus BV rappelle un jeu de boules de pétanque,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-28032.html,2009
2,Globus retire de l'assortiment le yaourt KOLIOS au lait de brébis,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-27939.html,2009
2,Sevylor® : Information concernant la sécurité de certaines bouées tractables,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-27571.html,2009
2,Bugaboo Bee: Information concernant la sécurité destinée aux propriétaires de modèles Bugaboo Bee,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-27434.html,2009
2,Norco: Rappel volontaire de divers cadres de vélo,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-27132.html,2009
2,Rappel volontaire du pulvérisateur à débit réduit Wagner - modèles W 650 / W 660,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-26989.html,2009
2,Information sécurité concernant les airbags avalanche Snowpulse,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-26720.html,2009
3,Le BFC informe sur deux rappels de produit,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-26597.html,2009
3,THULE Sweden: Rapelle de boulon pour barres de toit,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-26420.html,2009
3,Migros : Rappel de la bouilloire Mio Star Lumina,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-25830.html,2009
3,Migros : Rappel des veilleuses Lilibiggs pour enfants,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-25781.html,2009
3,Gloria-Protex: Alerte produit,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-25506.html,2009
3,Mavic: Rappel volontaire des roues Mavic R-SYS avant,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2009.msg-id-24932.html,2009
1,BFC - Otto's SA rappelle la chaise pliante avec le numéro de série IN 6415,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-37018.html,2010
1,"BFC - Rappel de produit: „M-Premium Gourmet Shot"" avec date limite erronée",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-36576.html,2010
1,BFC - Interdiscount rappelle ses adaptateurs radio (3 pièces) d'Intertronic,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-36218.html,2010
1,BFC - Migros rappelle des escalopes de poulet à la fausse marinade,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-35649.html,2010
1,BFC – Quatre rappels de produits,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-35483.html,2010
1,BFC - Coop rappelle des moules marinières,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-35116.html,2010
1,BFC - Migros Suisse orientale rappelle le fromage d'Italie vendu en action en lot de 4,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-34986.html,2010
1,BFC - Deux rappels et une mise en garde,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-34951.html,2010
1,Rappels de produits,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-34886.html,2010
1,Migros rappelle les produits Anna’s-Best “India Paneer Mutter” et “India Madras Fish Curry” en raison d'un danger pour les personnes allergiques au poisson et à la moutarde,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-34548.html,2010
2,Migros a publié un recommandation de sécurité pour le gril à gaz Brisbane,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-34536.html,2010
2,"SIEGENIA-AUBI a publié un avertissement concernant des ""coulisseaux"" éventuellement défectueux sur des portes et fenêtres coulissantes",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-33832.html,2010
2,Rappel public volontaire du bocal noir Espresso 100 g de Nescafé,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-33383.html,2010
2,Rappel des sèche-cheveux Braun Satin Pro et Braun Satin Hair Colour,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-33174.html,2010
2,"Migros rappelle le scooter ""Micro White""",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-33033.html,2010
2,Havells Sylvania rappelle ses ampoules à économie d´énergie Mini-Lynx Fast Start 10.000 h (10 ans) de 15W,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-32963.html,2010
2,Einhell rappelle des convecteurs,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-32586.html,2010
2,Contrôle préventif de certains baudriers SALEWA Civetta II,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-32432.html,2010
2,Coop rappelle les lampes à huile «Pisa»,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-32409.html,2010
2,Migros appelle à la prudence avec un tranche-pommes,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-32044.html,2010
3,"Aldi rappelle le sèche-cheveux ""Pro Intense CARRERA""",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-31394.html,2010
3,Migros rappelle l'hélicoptère «Challenger H»,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-31219.html,2010
3,Migros rappelle le dégraissant Miocar,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-31151.html,2010
3,Dive Rite a lancé un rappel volontaire de certains wings (bouées dorsales),https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2010.msg-id-30924.html,2010
1,"BFC - Aldi rappelle le modèle de ski ""INOC Cross Carver""",https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42847.html,2011
1,BFC - DKB Household Switzerland AG rappelle l'humidificateur d’air TURMIX AX 200,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42846.html,2011
1,BFC - Dynafit: amélioration technique requise des fixations Radical,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42838.html,2011
1,BFC - Gigaset remplace les batteries lithium-ion des produits de la série SL910,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42790.html,2011
1,BFK - Mitsubishi Electric rappelle Ecodan thermopompe eau-air,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42706.html,2011
1,BFC - Lidl rappelle trampoline avec filet de sécurité de la marque Crivit Sports,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42550.html,2011
1,BFC - Sevki GmbH rappelle la génératrice de type OHV-6500 EM6500EX.,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42389.html,2011
1,BFC - Programme de réparation et de vérification de sécurité des téléviseurs LCD BRAVIA,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42158.html,2011
1,BFC - Rappel du bateau gonflable de loisir de la marque Bestway RX-5000,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42048.html,2011
1,BFC: Rappel de certains lots de portes battantes PAX AURLAND avec miroir en verre,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-42013.html,2011
2,BFC: Rappel de la tente de jeu BUSA de IKEA,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-41605.html,2011
2,BFC: Rappel de la poussette Bugaboo Bee,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-41519.html,2011
2,BFC: Rappel du casque de ski « FUNRIDE » d’UVEX,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-41401.html,2011
2,BFC - Rappel de l'adaptateur de voyage «Suva»,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-41370.html,2011
2,BFC - IKEA rappelle ELGÅ FENSTAD porte coulissante 73x196 avec miroir en verre,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-41339.html,2011
2,BFC: Rappel de la Bière Lager de SPAR en bouteilles de 33 cl,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40877.html,2011
2,BFC: Reckitt Benckiser rappelle un lot de spray désodorisant « Air-Wick Propulseur 100% naturel zestes d'agrumes »,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40778.html,2011
2,BFC: Rappel de la Denner Bière spéciale,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40767.html,2011
2,BFC: Lidl Suisse Sàrl: Rappel du Prosciutto Cotto de GRANDI SALUMIFICI ITALIANI S.p.A.,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40665.html,2011
2,BFC: Migros: Rappel du Prosciutto cotto Gran Riserva,https://www.konsum.admin.ch//bfk/fr/home/produktesicherheit/produkterueckrufe/archiv/produktrueckrufe-und-sicherheitsinformationen-2011.msg-id-40491.html,2011
